x1,x2,y
0.0,0.0,-0.811687
0.0,0.0125,-0.794294772345646
0.0,0.025,-0.7769657651925179
0.0,0.037500000000000006,-0.7598734433322689
0.0,0.05,-0.7430627131624012
0.0,0.0625,-0.7265683686533344
0.0,0.07500000000000001,-0.7105597394606343
0.0,0.0875,-0.6946704210131956
0.0,0.1,-0.6788603993463399
0.05,0.0,-0.8086716
0.05,0.0125,-0.791178255365908
0.05,0.025,-0.774001391344757
0.05,0.037500000000000006,-0.7572058322447244
0.05,0.05,-0.7407970606552109
0.05,0.0625,-0.7246528694809711
0.05,0.07500000000000001,-0.708791916228204
0.05,0.0875,-0.6930608248058584
0.05,0.1,-0.6772728914042881
0.1,0.0,-0.800195
0.1,0.0125,-0.7830914869641784
0.1,0.025,-0.7662928424109576
0.1,0.037500000000000006,-0.74980161301762
0.1,0.05,-0.7335697213140617
0.1,0.0625,-0.7175159850600723
0.1,0.07500000000000001,-0.7015543211099716
0.1,0.0875,-0.6855381665234204
0.1,0.1,-0.6693372653797338
0.15,0.0,-0.7902888
0.15,0.0125,-0.7738735548971767
0.15,0.025,-0.7575625640009581
0.15,0.037500000000000006,-0.7412631650603846
0.15,0.05,-0.7248717200613876
0.15,0.0625,-0.7082946433312699
0.15,0.07500000000000001,-0.6914917677972852
0.15,0.0875,-0.6744648678268591
0.15,0.1,-0.6572726469792193
0.2,0.0,-0.7817564
0.2,0.0125,-0.7657619713852905
0.2,0.025,-0.7493882642908498
0.2,0.037500000000000006,-0.7325134269527813
0.2,0.05,-0.7150681330211999
0.2,0.0625,-0.6970681878050992
0.2,0.07500000000000001,-0.6786485934599552
0.2,0.0875,-0.660009868213617
0.2,0.1,-0.6414314766870662
0.25,0.0,-0.772623
0.25,0.0125,-0.7562887956990113
0.25,0.025,-0.7389053819513485
0.25,0.037500000000000006,-0.7204619368328994
0.25,0.05,-0.7010906303273733
0.25,0.0625,-0.681051441507252
0.25,0.07500000000000001,-0.6607467050739444
0.25,0.0875,-0.6405373701478414
0.25,0.1,-0.6208143139835959
0.3,0.0,-0.7553414
0.3,0.0125,-0.737781006572044
0.3,0.025,-0.7187346802015484
0.3,0.037500000000000006,-0.6984503400054243
0.3,0.05,-0.6773142869374098
0.3,0.0625,-0.6558258342981738
0.3,0.07500000000000001,-0.6345059015970212
0.3,0.0875,-0.6137737513832774
0.3,0.1,-0.5939043464696172
0.35,0.0,-0.7214036
0.35,0.0125,-0.7022414183625353
0.35,0.025,-0.6820113594099119
0.35,0.037500000000000006,-0.6610107821180455
0.35,0.05,-0.63977574241971
0.35,0.0625,-0.6187719069266319
0.35,0.07500000000000001,-0.5983825142227165
0.35,0.0875,-0.5787803405213257
0.35,0.1,-0.5600195455685287
0.4,0.0,-0.6695648
0.4,0.0125,-0.6484389198619538
0.4,0.025,-0.6273758702822275
0.4,0.037500000000000006,-0.6068710133665242
0.4,0.05,-0.5872760367332193
0.4,0.0625,-0.5687626376398819
0.4,0.07500000000000001,-0.5513281619218596
0.4,0.0875,-0.534757468117309
0.4,0.1,-0.5187596074354185
0.45,0.0,-0.6093748
0.45,0.0125,-0.5890544979654623
0.45,0.025,-0.5697153446866287
0.45,0.037500000000000006,-0.5515490957740025
0.45,0.05,-0.5345451196220605
0.45,0.0625,-0.5185071031631022
0.45,0.07500000000000001,-0.5031202423207146
0.45,0.0875,-0.48801130401316145
0.45,0.1,-0.4728117467321547
0.5,0.0,-0.5545802
0.5,0.0125,-0.5377544691979297
0.5,0.025,-0.5219556195896249
0.5,0.037500000000000006,-0.5069280089637851
0.5,0.05,-0.4923007470125587
0.5,0.0625,-0.47769734400074304
0.5,0.07500000000000001,-0.4627854807171053
0.5,0.0875,-0.4473081991130865
0.5,0.1,-0.4296366998065805
